Material composition,Material composition site,Abbreviated name,Electrolyte class,Is well studied? (>4 materials),Log ASR (Ohm-cm2) at T=773 K,Log ASR (Ohm-cm2) at T=873 K,Log ASR (Ohm-cm2) at T=973 K,Log ASR (Ohm-cm2) at T=1073 K,ML pred ASR barrier (eV)
Ba0.9Co0.7Fe0.2Nb0.1O3,[Ba0.9][Co0.7Fe0.2Nb0.1],B90CFN,ceria,0,-0.324875991,-1.175851767,-1.851909603,-2.401954795,1.134531099
Ba2Bi0.1Sc0.2Co1.7O5,[Ba2][Bi0.1Sc0.2Co1.7],BBiScC,mixed,0,0.302381062,-0.657577319,-1.420216403,-2.04070468,1.258738249
Ba0.95Ca0.05FeO3,[Ba0.95Ca0.05][Fe],BCaF,ceria,0,1.397940009,0.451148592,-0.301029996,-0.913007542,1.263385158
Ba0.95Ca0.05Fe0.95In0.05O3,[Ba0.95Ca0.05][Fe0.95In0.05],BCaFIn,ceria,0,0,-0.779035297,-1.397940009,-1.901485035,1.086717546
BaCe0.5Fe0.5O3,[Ba][Ce0.5Fe0.5],BCeF55,ceria,0,1.151262854,0.006425904,-0.903089987,-1.643078219,1.44558847
Ba0.9Co0.7Fe0.2Mo0.1O3,[Ba0.9][Co0.7Fe0.2Mo0.1],BCFMo,ceria,0,-0.428343793,-1.199825856,-1.812729899,-2.311392742,1.082027388
BaCo0.6Fe0.3Nb0.1O3,[Ba][Co0.6Fe0.3Nb0.1],BCFN631,mixed,0,0.243038049,-0.741061058,-1.522878745,-2.158970862,1.27479556
BaCo0.7Fe0.2Nb0.1O3,[Ba][Co0.7Fe0.2Nb0.1],BCFN721,ceria,1,0.093869311,-0.742641913,-1.407208384,-1.947904125,1.17159768
BaCo0.7Fe0.2Nb0.1O3,[Ba][Co0.7Fe0.2Nb0.1],BCFN721,perovskite,1,0.705466293,-0.261038959,-1.028879205,-1.653599181,1.245413458
BaCo0.7Fe0.22Sc0.08O3,[Ba][Co0.7Fe0.22Sc0.08],BCFSc,ceria,0,-0.522878745,-1.43990867,-2.168443235,-2.761183845,1.242322278
BaCo0.6Fe0.2Sn0.2O3,[Ba][Co0.6Fe0.2Sn0.2],BCFSn20,ceria,0,0.176091259,-0.647069669,-1.301029996,-1.833096505,1.123112687
BaCo0.6Fe0.3Sn0.1O3,[Ba][Co0.6Fe0.3Sn0.1],BCFSn631,mixed,0,0,-0.892786009,-1.602059991,-2.179130063,1.170289092
BaCo0.6Fe0.2Sn0.1Y0.1O3,[Ba][Co0.6Fe0.2Sn0.1Y0.1],BCFSnY,ceria,0,0,-0.779035297,-1.397940009,-1.901485035,1.045027701
BaCo0.7Fe0.22Y0.08O3,[Ba][Co0.7Fe0.22Y0.08],BCFY,ceria,0,-0.366531544,-1.522878745,-2.441538957,-3.18896707,1.404889481
BaCo0.6Fe0.2Y0.2O3,[Ba][Co0.6Fe0.2Y0.2],BCFY20,ceria,0,0.301029996,-0.547630382,-1.22184875,-1.770397338,1.214236068
BaCo0.7Fe0.2Yb0.1O3,[Ba][Co0.7Fe0.2Yb0.1],BCFYb,ceria,0,0.836564662,-0.217147241,-1.054268825,-1.735356562,1.332925376
BaCoO3,[Ba[Co],BCO,mixed,0,0.425258803,-0.346787486,-0.96013978,-1.459167322,1.160105817
BaCoO3,[Ba[Co],BCO,ceria,0,0.887054378,-0.215918346,-1.092175196,-1.80510365,1.355093511
BaCo0.875Sc0.125O3,[Ba][Co0.875Sc0.125],BCSc12,ceria,0,0.390935107,-0.74583427,-1.648940878,-2.383714473,1.441246163
BaCo0.75Sc0.25O3,[Ba][Co0.75Sc0.25],BCSc25,ceria,0,-0.017728767,-1.078632494,-1.921467623,-2.607203939,1.400531751
BaCo0.625Sc0.375O3,[Ba][Co0.625Sc0.375],BCSc37,ceria,0,0.23299611,-0.848260931,-1.707265755,-2.406157843,1.399621648
BaFe0.9Bi0.1O3,[Ba][Fe0.9Bi0.1],BFBi,perovskite,0,1.066224142,0.250283868,-0.397940009,-0.925339304,1.1029212
BaFe0.6Co0.3Ce0.1O3,[Ba[Fe0.6Co0.3Ce0.1],BFCCe631,ceria,0,0.291521715,-0.600855057,-1.30980392,-1.886609472,1.175718303
BaFe0.95Ce0.05O3,[Ba][Fe0.95Ce0.05],BFCe05,ceria,0,0.301029996,-0.510322692,-1.15490196,-1.679335978,1.148801367
BaFe0.85Cu0.15O3,[Ba][Fe0.85Cu0.15],BFCu15,ceria,0,0.029752924,-0.661543506,-1.210744062,-1.657577319,1.039426339
BaFe0.75Cu0.25O3,[Ba][Fe0.75Cu0.25],BFCu25,ceria,0,0.516118963,-0.366531544,-1.067753376,-1.638272164,1.148188925
BaFe0.4Co0.4Zr0.2O3,[Ba][Fe0.4Co0.4Zr0.2],BFCZ20,perovskite,0,0.93446359,0.18774473,-0.405486184,-0.888142836,1.007234616
BaFe0.4Co0.4Zr0.2O3,[Ba][Fe0.4Co0.4Zr0.2],BFCZ20,ceria,0,0,-0.668728522,-1.2,-1.632246039,0.948089419
BaCo0.2Fe0.5Zr0.3O3,[Ba][Co0.2Fe0.5Zr0.3],BFCZ253,perovskite,0,0.418979067,-0.275268581,-0.826813732,-1.275554567,1.014375074
BaCo0.5Fe0.2Zr0.3O3,[Ba][Co0.5Fe0.2Zr0.3],BFCZ523,perovskite,0,0.271158389,-0.485549444,-1.086716098,-1.575829322,1.070656287
BaFe0.4Co0.4Zr0.1Y0.1O3,[Ba][Fe0.4Co0.4Zr0.1Y0.1],BFCZY,ceria,0,0.062222892,-0.522878745,-0.987712832,-1.365904963,0.878158136
BaFe0.4Co0.4Zr0.1Y0.1O3,[Ba][Fe0.4Co0.4Zr0.1Y0.1],BFCZY,perovskite,0,0.760033922,-0.065444745,-0.721246399,-1.254811025,1.006768228
BaFe0.95In0.05O3,[Ba][Fe0.95In0.05],BFIn05,ceria,0,0.698970004,-0.247821413,-1,-1.611977546,1.261599069
BaFe0.95Nb0.05O3,[Ba][Fe0.95Nb0.05],BFN05,ceria,0,0.100134724,-0.838961507,-1.585026652,-2.19203026,1.228745995
BaFe0.75Ni0.25O3,[Ba][Fe0.75Ni0.25],BFNi82,ceria,0,0.6,-0.29163803,-1,-1.576328052,1.188529957
BaFeO3,[Ba][Fe],BFO,mixed,0,0.448898634,-0.698970004,-1.610894421,-2.352842245,1.423274756
BaFe0.95Sn0.05O3,[Ba][Fe0.95Sn0.05],BFSn05,ceria,0,0.306666603,-0.68982397,-1.48148606,-2.125587649,1.279379967
BaFe0.8Sn0.2O3,[Ba][Fe0.8Sn0.2],BFSn82,perovskite,0,0.603492885,-0.345819015,-1.1,-1.71360671,1.240200301
BaFe0.3Sn0.2Bi0.5O3,[Ba][Fe0.3Sn0.2Bi0.5],BFSnBi325,perovskite,0,0.784087969,0.01277205,-0.6,-1.098555452,0.989212628
BaFe0.5Sn0.2Bi0.3O3,[Ba][Fe0.5Sn0.2Bi0.3],BFSnBi523,perovskite,0,-0.364338077,-0.997212677,-1.5,-1.90907114,0.922249885
BaFe0.7Sn0.2Bi0.1O3,[Ba][Fe0.7Sn0.2Bi0.1],BFSnBi721,perovskite,0,0.340556274,-0.490091638,-1.15,-1.686905871,1.060064104
BaFe0.95Zr0.05O3,[Ba][Fe0.95Zr0.05],BFZ05,ceria,0,-0.301029996,-1.080065293,-1.698970004,-2.202515031,1.100733813
BaFe0.8Zn0.1Bi0.1O3,[Ba][Fe0.8Zn0.1Bi0.1],BFZnBi,perovskite,0,0.759127394,0.044699001,-0.522878745,-0.984663809,0.990448595
Ba0.95Gd0.05FeO3,[Ba0.95Gd0.05][Fe],BGF05,ceria,0,0.397940009,-0.435100696,-1.096910013,-1.635362514,1.120830499
Bi0.7Pr0.1Ba0.2FeO3,[Bi0.7Pr0.1Ba0.2][Fe],BiPBF,ceria,0,0.469151131,-0.501684598,-1.272965192,-1.900484259,1.376561458
Bi0.5Sr0.5Fe0.8Co0.2O3,[Bi0.5Sr0.5][Fe0.8Co0.2],BiSCF,ceria,0,0.181465766,-0.513422282,-1.065476198,-1.514630969,0.949310678
Bi0.5Sr0.5FeO3,[Bi0.5Sr0.5][Fe],BiSF50,ceria,0,0.7202887,-0.105219464,-0.761044552,-1.294628245,1.097706742
Bi0.2Sr0.8FeO3,[Bi0.2Sr0.8][Fe],BiSF80,ceria,0,1.230448921,0.292991877,-0.451771017,-1.057715105,1.255810941
Bi0.5Sr0.5Fe0.8Cu0.2O3,[Bi0.5Sr0.5][Fe0.8Cu0.2],BiSFCu,ceria,0,0.6,-0.235910653,-0.9,-1.440307549,1.098390629
Bi0.5Sr0.5Fe0.9Nb0.1O3,[Bi0.5Sr0.5][Fe0.9Nb0.1],BiSFN10,ceria,0,0,-0.780183276,-1.4,-1.904287046,1.001234832
Bi0.5Sr0.5Fe0.9Sb0.1O3,[Bi0.5Sr0.5][Fe0.9Sb0.1],BiSFSb10,ceria,0,-1.22184875,-1.433730501,-1.602059991,-1.739013994,0.568311667
Bi0.5Sr0.5Fe0.9Ti0.1O3,[Bi0.5Sr0.5][Fe0.9Ti0.1],BiSFT10,ceria,0,0.569926693,-0.316097747,-1.02,-1.592699596,1.170578451
Bi0.5Sr0.5Fe0.8Ti0.2O3,[Bi0.5Sr0.5][Fe0.8Ti0.2],BiSFT20,ceria,0,0.711535144,-0.15866743,-0.85,-1.412472818,1.169277862
Bi0.5Sr0.5Fe0.9Ta0.1O3,[Bi0.5Sr0.5][Fe0.9Ta0.1],BiSFTa10,ceria,0,0.2,-0.413001145,-0.9,-1.296225536,0.870379039
Ba0.95La0.05FeO3,[Ba0.95La0.05][Fe],BLF05,mixed,0,0.249157212,-0.654053551,-1.37160948,-1.955417799,1.120228435
Ba0.95La0.05FeO3,[Ba0.95La0.05][Fe],BLF05,ceria,0,0.031623546,-0.62666143,-1.149636031,-1.575131676,1.009446865
Ba0.6La0.4FeO3,[Ba0.6La0.4][Fe],BLF64,ceria,0,0.84509804,0.049460529,-0.582633814,-1.096910013,1.050632297
Ba0.8La0.2FeO3,[Ba0.8La0.2][Fe],BLF82,ceria,0,0.82105273,0.226794713,-0.24531366,-0.629424201,0.924626384
Ba0.9La0.1FeO3,[Ba0.9La0.1][Fe],BLF91,ceria,0,1.079181246,0.18764023,-0.520644668,-1.096910013,1.130791246
Ba0.95La0.05Fe0.95P0.05O3,[Ba0.95La0.05][Fe0.95P0.05],BLFP,ceria,0,-0.23962907,-1.027650626,-1.653694473,-2.163047948,1.058472035
(Ba0.5Sr0.5)0.8Co0.8Fe0.2O3,[(Ba0.5Sr0.5)0.8][Co0.8Fe0.2],BS0.8CF,ceria,0,0.477121255,-0.465606957,-1.214557529,-1.823908741,1.183335729
Ba0.5Sr0.5Co0.8Fe0.2O3,[Ba0.5Sr0.5][Co0.8Fe0.2],BSCF,mixed,0,-0.184757718,-0.971561317,-1.596637557,-2.10520378,1.09760532
Ba0.5Sr0.5Co0.8Fe0.2O3,[Ba0.5Sr0.5][Co0.8Fe0.2],BSCF,ceria,1,-0.046944408,-0.969283017,-1.702035067,-2.298207052,1.205873511
Ba0.5Sr0.5Co0.8Fe0.2O3,[Ba0.5Sr0.5][Co0.8Fe0.2],BSCF,perovskite,1,1.040430065,0.091969682,-0.661534816,-1.274591131,1.207653558
Ba0.2Sr0.8Co0.8Fe0.2O3,[Ba0.2Sr0.8][Co0.8Fe0.2],BSCF2882,ceria,0,-0.420268122,-0.721246399,-0.960358638,-1.15490196,0.66527002
Ba0.5Sr0.5Co0.2Fe0.8O3,[Ba0.5Sr0.5][Co0.2Fe0.8],BSCF5528,ceria,0,0.763041536,-0.066591992,-0.725694476,-1.26194468,1.166365477
Ba0.5Sr0.5Co0.4Fe0.6O3,[Ba0.5Sr0.5][Co0.4Fe0.6],BSCF5546,ceria,0,0.977162584,-0.117105293,-0.986446577,-1.693748479,1.347593528
Ba0.5Sr0.5Co0.7Fe0.2Ni0.1O3,[Ba0.5Sr0.5][Co0.7Fe0.2Ni0.1],BSCFN,ceria,0,-0.698970004,-1.44469476,-2.037135906,-2.519149999,1.046872257
Ba0.9Sr0.1Co0.9In0.1O3,[Ba0.9Sr0.1][Co0.9In0.1],BSCIn,ceria,0,0.428055391,-0.424812155,-1.102372909,-1.653640884,1.124345212
